Index,Date,Title,Outlets,Country,NATO_url
0,01.04.2020,"Blaming China for COVID-19 is a ploy, like blaming Russia for MH17",Journal of New Eastern Outlook,"EU, Russia, Ukraine, US, The Netherlands, Syria",https://euvsdisinfo.eu/report/blaming-china-for-covid-19-is-a-ploy-like-blaming-russia-for-mh17/
1,01.04.2020,USAID is a CIA-affiliated terror group that created the coronavirus,Journal of New Eastern Outlook,"China, US",https://euvsdisinfo.eu/report/usaid-is-a-cia-affiliated-terror-group-that-created-the-coronavirus/
2,01.04.2020,Authoritarian trends in the COVID-19 lockdown are a harbinger of the future,RT English,UK,https://euvsdisinfo.eu/report/authoritarian-trends-in-the-covid-19-lockdown-are-a-harbinger-of-the-future/
3,01.04.2020,The Italian Parliament lowers the flag of the European Union,fondsk.ru,"EU, Italy",https://euvsdisinfo.eu/report/the-italian-parliament-lowers-the-flag-of-the-european-union/
4,01.04.2020,Environmentalists are overjoyed by the fear around COVID-19; they see it as an opportunity,RT English,"EU, UK, US",https://euvsdisinfo.eu/report/environmentalists-are-overjoyed-by-the-fear-around-covid-19-they-see-it-as-an-opportunity/
5,31.03.2020,COVID-19: A large-scale sociological experiment to see how much repression the people will accept,southfront.org,"EU, US",https://euvsdisinfo.eu/report/covid-19-a-large-scale-sociological-experiment-to-see-how-much-repression-the-people-will-accept/
6,31.03.2020,It is too early to tell whether any extra people will die because of COVID-19,RT English,"UK, US",https://euvsdisinfo.eu/report/it-is-too-early-to-tell-whether-any-extra-people-will-die-because-of-covid-19/
7,30.03.2020,"The EU has collapsed, countries are building borders",NEWSONE,EU,https://euvsdisinfo.eu/report/eu-has-collapsed-countries-are-building-borders/
8,30.03.2020,"EU's health and safety policies failed, EU feels the threat of losing its power",riafan.ru,EU,https://euvsdisinfo.eu/report/european-identity-and-solidarity-are-in-crisis/
9,30.03.2020,Coronavirus mortality figures are insignificant,Sputnik Czech,"China, Czech Republic",https://euvsdisinfo.eu/report/coronavirus-mortality-figures-are-insignificant/
0,30.03.2020,People in Belgium want schools to open so they don't have to take care of their children,Sputnik Czech,Belgium,https://euvsdisinfo.eu/report/people-in-belgium-want-schools-to-open-so-they-dont-have-to-take-care-of-their-children/
1,30.03.2020,Greta Thunberg claimed to contract the coronavirus to attract media attention,Sputnik Czech,Czech Republic,https://euvsdisinfo.eu/report/greta-thunberg-may-claim-to-contract-the-coronavirus-to-attract-media-attention/
2,29.03.2020,The COVID-19 outbreak means the end of Europe; Russia and China will rise,One World,"EU, China, Russia",https://euvsdisinfo.eu/report/the-covid-19-outbreak-means-the-end-of-europe-russia-and-china-will-rise/
3,29.03.2020,The coronavirus disinformation campaign is the beginning of the heist of the century,Journal of New Eastern Outlook,US,https://euvsdisinfo.eu/report/the-coronavirus-disinformation-campaign-is-the-beginning-of-the-heist-of-the-century/
4,29.03.2020,380 Belgians caught COVID-19 through a massive act of group sex,"zavtra.ru, progressnews.ge",Belgium,https://euvsdisinfo.eu/report/380-belgians-caught-covid-19-through-a-massive-act-of-group-sex/
5,29.03.2020,Bulgarian sooth-sayer Baba Vanga predicted when the pandemic will end,riafan.ru,"Bulgaria, Russia",https://euvsdisinfo.eu/report/bulgarian-sooth-sayer-baba-vanga-predicted-when-the-pandemic-will-end/
